id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_CODE_2021,SA1_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,RA_2011,RA_2016,RA_2021,RA_2021_NAME,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,sed_code,sed_name
"230","0200","ANU","ACT","149.119","-35.2777","","","Updated 3-Dec-2022","","","","","R1","-35.2777","149.119","","","","","","","","","1","1","","","1","1","","","N2","","","Unincorporated ACT","89399","Durack","","",""
"21820","0200","Australian National University","ACT","149.1189","-35.2777","","","Updated 3-Dec-2022","","","","","R1","-35.2776999","149.118527","","","","","","","","","1","1","","","1","1","","","N2","","","Unincorporated ACT","89399","Durack","","",""
"232","0800","DARWIN","NT","130.83668","-12.458684","","","Updated 3-Dec-2022","70101","Darwin City","701","Darwin","R1","-12.3932794","130.7766611","70101100231","Darwin City","701011002","Darwin City","","","","","3","3","","","2","2","","","NT1","PHN701","Northern Territory","Darwin Waterfront Precinct","71150","Solomon","Inner Metropolitan","70022","Port Darwin"
"24049","0800","DARWIN CITY","NT","130.83668","-12.458684","","","Updated 3-Dec-2022","70101","Darwin City","701","Darwin","R1","-12.3932794","130.7766611","70101100231","Darwin City","701011002","Darwin City","","","","","3","3","","","2","2","","","NT1","PHN701","Northern Territory","Darwin Waterfront Precinct","71150","Solomon","Inner Metropolitan","70022","Port Darwin"
"233","0801","DARWIN","NT","130.83668","-12.458684","","","Updated 3-Dec-2022","70101","Darwin City","701","Darwin","R1","-12.4634403","130.8456418","","","","","","","","","3","3","","","2","2","","","NT1","PHN701","","Darwin","71000","Lingiari","Rural","",""
"24055","0803","WAGAIT BEACH","NT","130.7459083","-12.43399126","","Post Office Boxes","Updated 17-Mar-2024 AUSPOST","70205","Katherine","702","Northern Territory - Outback","R1","0","0","","","","","","","","","","","","","","","","18.5299186706543","","","","","","","","",""
"234","0804","PARAP","NT","130.873315","-12.428017","","","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.4324801","130.8462536","","","","","","","","","3","3","","","2","2","","","NT1","PHN701","","Darwin","71000","Durack","","",""
"235","0810","ALAWA","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.38","130.873","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"236","0810","BRINKIN","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.37","130.867","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"237","0810","CASUARINA","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.373333","130.881667","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"19972","0810","COCONUT GROVE","NT","130.8502369","-12.39614166","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3989","130.852","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"239","0810","JINGILI","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.386667","130.875278","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"240","0810","LEE POINT","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.339444","130.893056","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"19973","0810","LYONS","NT","130.8885151","-12.35911956","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3603","130.889","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"241","0810","MILLNER","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.391111","130.863208","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"242","0810","MOIL","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.388889","130.879167","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"19974","0810","MUIRHEAD","NT","130.8959029","-12.35811947","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3583","130.896","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"243","0810","NAKARA","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.369444","130.878056","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"244","0810","NIGHTCLIFF","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.383","130.849","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"245","0810","RAPID CREEK","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.380833","130.862222","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"246","0810","TIWI","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.363333","130.880278","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"247","0810","WAGAMAN","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3825","130.885","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"248","0810","WANGURI","NT","130.866242","-12.381806","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3725","130.887778","70102102904","Wanguri","701021029","Wanguri","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"249","0811","CASUARINA","NT","130.866242","-12.381806","","","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.373333","130.881667","","","","","","","","","3","3","","","2","2","","9.22142887115479","NT1","PHN502","","Darwin","71000","Durack","","",""
"19975","0812","ANULA","NT","130.89047","-12.39124885","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3928","130.89","70102103007","Wulagi","701021030","Wulagi","","","","","3","3","","","2","2","","4.40720176696777","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"19976","0812","BUFFALO CREEK","NT","130.9209831","-12.34638634","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3464","130.921","70102103007","Wulagi","701021030","Wulagi","","","","","3","3","","","2","2","","4.40720176696777","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"19977","0812","HOLMES","NT","130.9268602","-12.38479951","Northern Territory Country 1","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.3961","130.921","70102103007","Wulagi","701021030","Wulagi","","","","","3","3","","","2","2","","4.40720176696777","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
"251","0812","KARAMA","NT","130.916098","-12.404778","","Delivery Area","Updated 3-Dec-2022","70102","Darwin Suburbs","701","Darwin","R1","-12.401069","130.916889","70102103007","Wulagi","701021030","Wulagi","","","","","3","3","","","2","2","","35.8573036193848","NT1","PHN701","Northern Territory","Darwin","71000","Solomon","Inner Metropolitan","70025","Wanguri"
